iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter12,clinicalbert_transformer,Accuracy,0.7492179353493222,,,,,,,,,,
iter12,clinicalbert_transformer,MacroAUC,0.8356696306369151,,,,,,,,,,
iter12,clinicalbert_transformer,Precision_1,0.8188638799571275,,,,,,,,,,
iter12,clinicalbert_transformer,Recall_1,0.7100371747211895,,,,,,,,,,
iter12,clinicalbert_transformer,F1_1,0.7605774016923843,,,,,,,,,,
iter12,gru,Accuracy,0.7434237150951032,,,,,,,,,,
iter12,gru,AUC,0.8299454638845648,,,,,,,,,,
iter12,gru,Precision_1,0.7867165575304023,,,,,,,,,,
iter12,gru,Recall_1,0.6744186046511628,,,,,,,,,,
iter12,gru,F1_1,0.7262521588946459,,,,,,,,,,
iter12,lstm,Accuracy,0.7482800485633346,,,,,,,,,,
iter12,lstm,AUC,0.8328989574979953,,,,,,,,,,
iter12,lstm,Precision_1,0.7874885004599816,,,,,,,,,,
iter12,lstm,Recall_1,0.6864474739374499,,,,,,,,,,
iter12,lstm,F1_1,0.7335047129391602,,,,,,,,,,
iter12,tabular,,,RandomForest,0.8315,0.745,,,,0.7556,0.7314,0.7433,
iter12,tabular,,,XGBoost,0.8297,0.7463,,,,0.757,0.7322,0.7444,
iter12,tfidf,0,,,,,0.6196150320806599,0.8028503562945368,,,,,0.6994309363683394
iter12,tfidf,1,,,,,0.7992744860943168,0.6143122676579925,,,,,0.6946925906463479
iter12,tfidf,Accuracy,,,,,0.6970802919708029,,,,,,
iter12,tfidf,ROC_AUC,,,,,0.7726961165220002,,,,,,
iter12,transformer,Accuracy,0.73573452043707,,,,,,,,,,
iter12,transformer,AUC,0.8239965459586668,,,,,,,,,,
iter12,transformer,Precision_1,0.751269035532995,,,,,,,,,,
iter12,transformer,Recall_1,0.7121090617481957,,,,,,,,,,
iter12,transformer,F1_1,0.7311650885137917,,,,,,,,,,
